,tracking_id,datetime,windmill_generated_power(kW/h)
0,WM_19817,2019-04-17 08:53:20,2.5398073
1,WM_18723,2019-03-30 07:43:20,2.4581523
2,WM_34552,2019-08-10 11:33:20,3.170714
3,WM_28570,2019-06-26 03:53:20,7.3256598
4,WM_36934,2019-08-27 16:43:20,3.6064968
5,WM_46,2018-10-29 04:43:20,7.444845
6,WM_5545,2018-12-16 15:13:20,4.3331265
7,WM_6959,2018-12-27 01:53:20,10.685042
8,WM_9565,2019-01-14 13:43:20,8.0616455
9,WM_33379,2019-08-02 03:33:20,2.434289
10,WM_24358,2019-05-24 04:23:20,5.6993027
11,WM_38536,2019-09-10 00:23:20,8.034177
12,WM_30740,2019-07-11 20:33:20,7.1631994
13,WM_32731,2019-07-28 12:23:20,5.425889
14,WM_14062,2019-02-17 14:03:20,8.3958235
15,WM_15294,2019-02-27 03:03:20,11.188818
16,WM_36014,2019-08-21 06:03:20,5.5504036
17,WM_5050,2018-12-11 01:23:20,13.147286
18,WM_17819,2019-03-22 11:53:20,2.5087667
19,WM_1759,2018-11-13 16:23:20,2.5378158
20,WM_27254,2019-06-16 12:13:20,4.518248
21,WM_14482,2019-02-20 17:53:20,6.440908
22,WM_40277,2019-09-23 05:03:20,4.184046
23,WM_23364,2019-05-17 04:43:20,5.6103396
24,WM_35071,2019-08-14 02:53:20,8.501669
25,WM_1240,2018-11-09 20:43:20,4.7382936
26,WM_193,2018-10-30 05:43:20,8.460463
27,WM_31417,2019-07-16 15:23:20,7.6548963
28,WM_37853,2019-09-05 02:13:20,5.858981
29,WM_34415,2019-08-09 12:13:20,2.7238462
30,WM_20130,2019-04-22 05:03:20,3.465479
31,WM_36985,2019-08-28 01:13:20,3.1110363
32,WM_32816,2019-07-29 02:53:20,7.6085877
33,WM_9659,2019-01-15 06:03:20,9.221158
34,WM_34192,2019-08-07 22:13:20,5.651666
35,WM_7124,2018-12-28 06:43:20,8.902001
36,WM_35945,2019-08-20 18:33:20,5.3303766
37,WM_29448,2019-07-02 12:43:20,3.9750023
38,WM_26129,2019-06-08 07:53:20,3.5458407
39,WM_3566,2018-11-29 22:53:20,6.466085
40,WM_1340,2018-11-10 15:23:20,3.0059128
41,WM_14304,2019-02-19 08:33:20,6.3741875
42,WM_22513,2019-05-11 04:33:20,4.9113874
43,WM_15672,2019-03-01 19:03:20,11.3501215
44,WM_28793,2019-06-27 17:53:20,1.7115198
45,WM_13683,2019-02-14 16:33:20,7.2689834
46,WM_8450,2019-01-06 15:23:20,8.215569
47,WM_39606,2019-09-17 19:03:20,7.4891167
48,WM_33792,2019-08-05 01:43:20,8.13101
49,WM_39434,2019-09-16 14:23:20,2.529519
50,WM_16883,2019-03-14 00:13:20,2.5738156
51,WM_16423,2019-03-08 21:13:20,5.445362
52,WM_19378,2019-04-07 14:43:20,4.098199
53,WM_35176,2019-08-14 20:23:20,8.050512
54,WM_39649,2019-09-18 02:13:20,6.023493
55,WM_16624,2019-03-11 23:43:20,2.4440746
56,WM_25236,2019-05-31 15:13:20,3.9251032
57,WM_30165,2019-07-07 15:13:20,2.4217308
58,WM_11229,2019-01-26 21:13:20,10.729588
59,WM_22495,2019-05-11 01:33:20,5.231984
60,WM_1410,2018-11-11 03:43:20,2.8327117
61,WM_3502,2018-11-29 11:23:20,3.4613879
62,WM_11799,2019-02-01 03:53:20,9.081111
63,WM_22334,2019-05-09 20:43:20,5.7134266
64,WM_37802,2019-09-04 17:43:20,3.3769424
65,WM_6663,2018-12-24 23:53:20,10.543515
66,WM_29243,2019-07-01 01:43:20,5.354805
67,WM_5320,2018-12-14 23:53:20,7.1049743
68,WM_16550,2019-03-10 15:43:20,6.9358554
69,WM_2183,2018-11-16 16:43:20,3.9388185
70,WM_3438,2018-11-29 00:33:20,5.1667795
71,WM_36325,2019-08-23 10:03:20,3.236048
72,WM_8597,2019-01-07 16:23:20,5.5948596
73,WM_31833,2019-07-19 14:33:20,5.2111278
74,WM_10149,2019-01-18 22:33:20,10.407073
75,WM_38811,2019-09-11 22:23:20,8.23484
76,WM_31073,2019-07-14 05:13:20,4.000719
77,WM_1314,2018-11-10 11:03:20,5.2019787
78,WM_28386,2019-06-24 20:03:20,8.208563
79,WM_198,2018-10-30 06:33:20,9.273007
80,WM_10525,2019-01-21 14:03:20,6.586683
81,WM_11900,2019-02-01 21:03:20,11.661452
82,WM_18459,2019-03-27 07:03:20,3.645099
83,WM_33737,2019-08-04 16:33:20,6.292571
84,WM_1851,2018-11-14 08:03:20,2.3969944
85,WM_21673,2019-05-05 04:43:20,4.538707
86,WM_6566,2018-12-24 07:23:20,9.435637
87,WM_36845,2019-08-27 01:53:20,3.017647
88,WM_7916,2019-01-02 19:43:20,12.257602
89,WM_27896,2019-06-21 06:43:20,5.7179933
90,WM_21392,2019-05-02 11:33:20,3.4662015
91,WM_27683,2019-06-19 18:13:20,4.400035
92,WM_8769,2019-01-08 22:13:20,3.615576
93,WM_30312,2019-07-08 17:53:20,5.2915144
94,WM_29472,2019-07-02 16:43:20,4.163967
95,WM_3189,2018-11-27 06:33:20,8.195862
96,WM_18130,2019-03-24 20:13:20,6.0425777
97,WM_36279,2019-08-23 02:23:20,8.543074
98,WM_28062,2019-06-22 12:03:20,4.8257084
99,WM_20790,2019-04-28 07:03:20,2.553192
100,WM_18167,2019-03-25 02:43:20,5.526709
